Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
3477,TLCCONS2207,1,28.8,0,0,8,0,0,0,16406
2867,TLCCONS2345,1.8,27.7,3,0,18,0,0,0,17888
3034,TLCCONS2221,1,26.4,0,0,8,0,0,0,15693
4117,TLC12626,1,28.1,0,0,8,0,0,0,15313
3547,TLC12389,1,25.1,0,0,8,0,0,0,14853
4090,TLC12408,1,22.6,0,0,8,0,0,0,14149
3513,TLC12005,1,16,0,0,8,0,0,0,12572
3157,TLC12824,1,24.1,0,0,8,0,0,0,14038
2997,TLC12292,1,12.8,0,0,8,0,0,0,11558
1937,TLC13231,1.35,16,3,0,13.5,0,0,0,13134
3811,TLCCONS2353,1,15.2,0,0,8,0,0,0,12009
3753,TLC13168,1,21,0,0,8,0,0,0,11074
2813,TLC13165,1,20.3,0,0,8,0,0,0,12564
3377,TLC12869,1,6,0,0,8,0,0,0,8809
