Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
2000,TLC13657,5.4,660,20,0,51.3,0,0,0,155040
3529,TLC13680,7.2,145.1,10,0,68.4,0,0,0,46304
3932,TLC13660,1.8,292.5,10,0,18,0,0,0,67696
3245,TLC13595,2.7,75.2,5,0,27,0,0,0,22186
1872,TLC13603,1.4,57.6,5,0,14,0,0,0,15473
3914,TLC13594,1.4,55.6,5,0,14,0,0,0,15023
3585,TLC13576,0.5,85.6,5,0,5,0,0,0,19640
3936,TLC13577,0.5,53.3,5,0,5,0,0,0,12591
3967,TLC13572,0.5,45.9,5,0,5,0,0,0,10978
3910,TLC13637,0.5,44.6,5,0,5,0,0,0,10692
3419,TLC13565,1.8,18.2,3,0,18,0,0,0,0
3433,TLC13570,1.8,25,3,0,18,0,0,0,0
4141,TLC13601,1.8,24.6,3,0,18,0,0,0,0
3587,TLC12817,1,4,0,0,8,0,0,0,0
2838,TLC13293,1,28.4,0,0,8,0,0,0,0
2813,TLC13298,1,23.6,0,0,8,0,0,0,0
4187,TLC13395,1,18.7,0,0,8,0,0,0,0
4183,TLC13431,1,29.5,0,0,8,0,0,0,0
2983,TLC13485,1,21.4,0,0,8,0,0,0,0
3087,TLC13578,1,20.9,0,0,8,0,0,0,0
2884,TLC13591,1,27.3,0,0,8,0,0,0,0
4215,TLC13596,1,25.7,0,0,8,0,0,0,0
4164,TLC13599,1,24.2,0,0,8,0,0,0,0
2924,TLC13604,1,26.8,0,0,8,0,0,0,0
3541,TLC13612,1,27.5,0,0,8,0,0,0,0
4020,TLC13617,1,23.5,0,0,8,0,0,0,0
3477,TLC13619,1,29.2,0,0,8,0,0,0,0
3875,TLC13621,1,12.9,0,0,8,0,0,0,0
3001,TLC13627,1,22.9,0,0,8,0,0,0,0
3665,TLC13629,1,15,0,0,8,0,0,0,0
3427,TLC13632,1,16.1,0,0,8,0,0,0,0
4087,TLC13633,1,12.3,0,0,8,0,0,0,0
3426,TLC13670,1,9.8,0,0,8,0,0,0,0
3076,TLC13542,1,27.4,0,0,8,0,0,0,0
