Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
3903,TLC13900,7.2,1500,50,0,68.4,0,0,0,342057
3246,TLC13728,3.6,1382.7,50,0,36,0,0,0,309515
1914,TLC13756,0.9,405.5,20,0,9,0,0,0,90447
4219,TLC13915,0.9,219.4,10,0,9,0,0,0,49587
3714,TLC13650,0.9,160.5,10,0,9,0,0,0,36955
3087,TLC13749,1.8,139.1,10,0,18,0,0,0,34212
3477,TLC13822,0.45,83.7,5,0,4.5,0,0,0,19231
3752,TLC13856,0.5,74.9,5,0,5,0,0,0,17307
3470,TLC13913,2.7,51.4,5,0,27,0,0,0,17012
3199,TLC13836,0.5,72.7,5,0,5,0,0,0,16840
4175,TLC13879,2.3,44.7,5,0,23,0,0,0,14564
3350,TLC13870,0.45,56,5,0,4.5,0,0,0,13189
4086,TLC13760,0.9,48.1,5,0,9,0,0,0,12436
3188,TLC13804,0.5,50.3,5,0,5,0,0,0,11944
3209,TLC13809,0.5,33.5,5,0,5,0,0,0,8277
2867,TLC13783,0.9,26.8,3,0,9,0,0,0,7556
2867,TLC13788,0.9,26.8,3,0,9,0,0,0,7556
2911,TLC13876,0.5,26.2,3,0,5,0,0,0,7425
2867,TLC13781,0.5,22.9,3,0,5,0,0,0,6705
2911,TLC13877,0.9,15.3,3,0,9,0,0,0,5059
2911,TLC13878,0.9,10.7,3,0,9,0,0,0,4036
1934,TLC13290,0.5,25,3,0,5,0,0,0,8948
3413,TLC13584,0.5,39.5,5,0,5,0,0,0,11437
1881,TLC13883,32,337.8,10,0,192,0,0,0,114761
2838,TLC13538,1,12,0,0,8,0,0,0,0
3746,TLC13553,1,19.8,0,0,8,0,0,0,0
4183,TLC13653,1,29.9,0,0,8,0,0,0,0
2943,TLC13683,1,15.5,0,0,8,0,0,0,0
3409,TLC13711,1,23.5,0,0,8,0,0,0,0
3095,TLC13717,1,25,0,0,8,0,0,0,0
1861,TLC13726,1,11.4,0,0,8,0,0,0,0
2873,TLC13734,1,27.8,0,0,8,0,0,0,0
4041,TLC13750,1,20,0,0,8,0,0,0,0
4191,TLC13751,1,26.8,0,0,8,0,0,0,0
2963,TLC13775,1,28.9,0,0,8,0,0,0,0
3218,TLC13795,1,29.9,0,0,8,0,0,0,0
3297,TLC13808,1,14.9,0,0,8,0,0,0,0
3560,TLC13823,1,23.5,0,0,8,0,0,0,0
3029,TLC13824,1,21.4,0,0,8,0,0,0,0
4162,TLC13825,1,12,0,0,8,0,0,0,0
2813,TLC13828,1,27.8,0,0,8,0,0,0,0
3157,TLC13875,1,9.6,0,0,8,0,0,0,0
1793,TLC13908,1,3.3,0,0,8,0,0,0,0
4087,TLC13914,1,20.6,0,0,8,0,0,0,0
3001,TLC13926,1,13.5,0,0,8,0,0,0,0
1813,TLC13929,1,17,0,0,8,0,0,0,0
2983,TLC13939,1,15,0,0,8,0,0,0,0
