Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
3052,TLC13386,1.4,125,10,0,14,0,0,0,28447
1925,TLC13456,0.9,49.9,5,0,9,0,0,0,8995
3352,TLC11982,0.9,97.8,5,0,9,0,0,0,4765
3352,TLC11690,0.5,59.9,5,0,5,0,0,0,3447
3996,TLC11546,1,22.5,0,0,8,0,0,0,0
3560,TLC12006,1,19.5,0,0,8,0,0,0,0
3161,TLC12573,1,29.8,0,0,8,0,0,0,0
3076,TLCCONS2349,1,28.7,0,0,8,0,0,0,0
3113,TLC13004,1,14.4,0,0,8,0,0,0,0
3732,TLC13010,1,16.4,0,0,8,0,0,0,0
1877,TLCCONS2366,1,24.9,0,0,8,0,0,0,9148

